Attribute File,Test Accuracy
attr_adasim_jaccard_top1.npy,0.531
attr_adasim_jaccard_top10.npy,0.636
attr_adasim_jaccard_top2.npy,0.586
attr_adasim_jaccard_top3.npy,0.612
attr_adasim_jaccard_top4.npy,0.613
attr_adasim_jaccard_top5.npy,0.634
attr_adasim_jaccard_top6.npy,0.626
attr_adasim_jaccard_top7.npy,0.626
attr_adasim_jaccard_top8.npy,0.636
attr_adasim_jaccard_top9.npy,0.634
attr_adasim_simrank_jaccard_top1.npy,0.6
attr_adasim_simrank_jaccard_top10.npy,0.68
attr_adasim_simrank_jaccard_top2.npy,0.659
attr_adasim_simrank_jaccard_top3.npy,0.665
attr_adasim_simrank_jaccard_top4.npy,0.66
attr_adasim_simrank_jaccard_top5.npy,0.685
attr_adasim_simrank_jaccard_top6.npy,0.674
attr_adasim_simrank_jaccard_top7.npy,0.676
attr_adasim_simrank_jaccard_top8.npy,0.688
attr_adasim_simrank_jaccard_top9.npy,0.683
attr_adasim_simrank_top1.npy,0.604
attr_adasim_simrank_top10.npy,0.7
attr_adasim_simrank_top2.npy,0.66
attr_adasim_simrank_top3.npy,0.677
attr_adasim_simrank_top4.npy,0.667
attr_adasim_simrank_top5.npy,0.698
attr_adasim_simrank_top6.npy,0.686
attr_adasim_simrank_top7.npy,0.687
attr_adasim_simrank_top8.npy,0.703
attr_adasim_simrank_top9.npy,0.704
attr_rwr_adasim_jaccard_top1.npy,0.532
attr_rwr_adasim_jaccard_top10.npy,0.642
attr_rwr_adasim_jaccard_top2.npy,0.589
attr_rwr_adasim_jaccard_top3.npy,0.612
attr_rwr_adasim_jaccard_top4.npy,0.614
attr_rwr_adasim_jaccard_top5.npy,0.633
attr_rwr_adasim_jaccard_top6.npy,0.622
attr_rwr_adasim_jaccard_top7.npy,0.628
attr_rwr_adasim_jaccard_top8.npy,0.636
attr_rwr_adasim_jaccard_top9.npy,0.633
attr_rwr_adasim_simrank_jaccard_top1.npy,0.601
attr_rwr_adasim_simrank_jaccard_top10.npy,0.679
attr_rwr_adasim_simrank_jaccard_top2.npy,0.654
attr_rwr_adasim_simrank_jaccard_top3.npy,0.664
attr_rwr_adasim_simrank_jaccard_top4.npy,0.663
attr_rwr_adasim_simrank_jaccard_top5.npy,0.686
attr_rwr_adasim_simrank_jaccard_top6.npy,0.676
attr_rwr_adasim_simrank_jaccard_top7.npy,0.674
attr_rwr_adasim_simrank_jaccard_top8.npy,0.688
attr_rwr_adasim_simrank_jaccard_top9.npy,0.68
attr_rwr_adasim_simrank_top1.npy,0.605
attr_rwr_adasim_simrank_top10.npy,0.698
attr_rwr_adasim_simrank_top2.npy,0.661
attr_rwr_adasim_simrank_top3.npy,0.676
attr_rwr_adasim_simrank_top4.npy,0.667
attr_rwr_adasim_simrank_top5.npy,0.696
attr_rwr_adasim_simrank_top6.npy,0.686
attr_rwr_adasim_simrank_top7.npy,0.687
attr_rwr_adasim_simrank_top8.npy,0.703
attr_rwr_adasim_simrank_top9.npy,0.704
attr_rwr_adasim_top1.npy,0.522
attr_rwr_adasim_top10.npy,0.635
attr_rwr_adasim_top2.npy,0.566
attr_rwr_adasim_top3.npy,0.604
attr_rwr_adasim_top4.npy,0.61
attr_rwr_adasim_top5.npy,0.628
attr_rwr_adasim_top6.npy,0.614
attr_rwr_adasim_top7.npy,0.623
attr_rwr_adasim_top8.npy,0.631
attr_rwr_adasim_top9.npy,0.631
attr_rwr_jaccard_top1.npy,0.523
attr_rwr_jaccard_top10.npy,0.639
attr_rwr_jaccard_top2.npy,0.577
attr_rwr_jaccard_top3.npy,0.604
attr_rwr_jaccard_top4.npy,0.611
attr_rwr_jaccard_top5.npy,0.635
attr_rwr_jaccard_top6.npy,0.63
attr_rwr_jaccard_top7.npy,0.634
attr_rwr_jaccard_top8.npy,0.644
attr_rwr_jaccard_top9.npy,0.638
attr_rwr_simrank_jaccard_top1.npy,0.604
attr_rwr_simrank_jaccard_top10.npy,0.677
attr_rwr_simrank_jaccard_top2.npy,0.662
attr_rwr_simrank_jaccard_top3.npy,0.668
attr_rwr_simrank_jaccard_top4.npy,0.659
attr_rwr_simrank_jaccard_top5.npy,0.689
attr_rwr_simrank_jaccard_top6.npy,0.668
attr_rwr_simrank_jaccard_top7.npy,0.678
attr_rwr_simrank_jaccard_top8.npy,0.687
attr_rwr_simrank_jaccard_top9.npy,0.684
attr_rwr_simrank_top1.npy,0.592
attr_rwr_simrank_top10.npy,0.695
attr_rwr_simrank_top2.npy,0.659
attr_rwr_simrank_top3.npy,0.682
attr_rwr_simrank_top4.npy,0.674
attr_rwr_simrank_top5.npy,0.698
attr_rwr_simrank_top6.npy,0.69
attr_rwr_simrank_top7.npy,0.687
attr_rwr_simrank_top8.npy,0.703
attr_rwr_simrank_top9.npy,0.701
attr_simrank_jaccard_top1.npy,0.604
attr_simrank_jaccard_top10.npy,0.679
attr_simrank_jaccard_top2.npy,0.658
attr_simrank_jaccard_top3.npy,0.668
attr_simrank_jaccard_top4.npy,0.66
attr_simrank_jaccard_top5.npy,0.691
attr_simrank_jaccard_top6.npy,0.668
attr_simrank_jaccard_top7.npy,0.674
attr_simrank_jaccard_top8.npy,0.687
attr_simrank_jaccard_top9.npy,0.685
