Model,Attribute File,Test Accuracy
gin,attr_adasim_jaccard_top1.npy,0.592
gin,attr_adasim_jaccard_top10.npy,0.625
gin,attr_adasim_jaccard_top2.npy,0.61
gin,attr_adasim_jaccard_top3.npy,0.651
gin,attr_adasim_jaccard_top4.npy,0.636
gin,attr_adasim_jaccard_top5.npy,0.646
gin,attr_adasim_jaccard_top6.npy,0.631
gin,attr_adasim_jaccard_top7.npy,0.64
gin,attr_adasim_jaccard_top8.npy,0.647
gin,attr_adasim_jaccard_top9.npy,0.643
gin,attr_adasim_simrank_jaccard_top1.npy,0.637
gin,attr_adasim_simrank_jaccard_top10.npy,0.694
gin,attr_adasim_simrank_jaccard_top2.npy,0.643
gin,attr_adasim_simrank_jaccard_top3.npy,0.678
gin,attr_adasim_simrank_jaccard_top4.npy,0.682
gin,attr_adasim_simrank_jaccard_top5.npy,0.687
gin,attr_adasim_simrank_jaccard_top6.npy,0.65
gin,attr_adasim_simrank_jaccard_top7.npy,0.657
gin,attr_adasim_simrank_jaccard_top8.npy,0.667
gin,attr_adasim_simrank_jaccard_top9.npy,0.667
gin,attr_adasim_simrank_top1.npy,0.629
gin,attr_adasim_simrank_top10.npy,0.672
gin,attr_adasim_simrank_top2.npy,0.656
gin,attr_adasim_simrank_top3.npy,0.684
gin,attr_adasim_simrank_top4.npy,0.689
gin,attr_adasim_simrank_top5.npy,0.684
gin,attr_adasim_simrank_top6.npy,0.678
gin,attr_adasim_simrank_top7.npy,0.661
gin,attr_adasim_simrank_top8.npy,0.677
gin,attr_adasim_simrank_top9.npy,0.686
gin,attr_rwr_adasim_jaccard_top1.npy,0.599
gin,attr_rwr_adasim_jaccard_top10.npy,0.624
gin,attr_rwr_adasim_jaccard_top2.npy,0.592
gin,attr_rwr_adasim_jaccard_top3.npy,0.623
gin,attr_rwr_adasim_jaccard_top4.npy,0.62
gin,attr_rwr_adasim_jaccard_top5.npy,0.629
gin,attr_rwr_adasim_jaccard_top6.npy,0.616
gin,attr_rwr_adasim_jaccard_top7.npy,0.623
gin,attr_rwr_adasim_jaccard_top8.npy,0.657
gin,attr_rwr_adasim_jaccard_top9.npy,0.641
gin,attr_rwr_adasim_simrank_jaccard_top1.npy,0.635
gin,attr_rwr_adasim_simrank_jaccard_top10.npy,0.652
gin,attr_rwr_adasim_simrank_jaccard_top2.npy,0.654
gin,attr_rwr_adasim_simrank_jaccard_top3.npy,0.659
gin,attr_rwr_adasim_simrank_jaccard_top4.npy,0.671
gin,attr_rwr_adasim_simrank_jaccard_top5.npy,0.675
gin,attr_rwr_adasim_simrank_jaccard_top6.npy,0.636
gin,attr_rwr_adasim_simrank_jaccard_top7.npy,0.66
gin,attr_rwr_adasim_simrank_jaccard_top8.npy,0.67
gin,attr_rwr_adasim_simrank_jaccard_top9.npy,0.662
gin,attr_rwr_adasim_simrank_top1.npy,0.66
gin,attr_rwr_adasim_simrank_top10.npy,0.667
gin,attr_rwr_adasim_simrank_top2.npy,0.669
gin,attr_rwr_adasim_simrank_top3.npy,0.684
gin,attr_rwr_adasim_simrank_top4.npy,0.686
gin,attr_rwr_adasim_simrank_top5.npy,0.675
gin,attr_rwr_adasim_simrank_top6.npy,0.663
gin,attr_rwr_adasim_simrank_top7.npy,0.658
gin,attr_rwr_adasim_simrank_top8.npy,0.687
gin,attr_rwr_adasim_simrank_top9.npy,0.675
gin,attr_rwr_adasim_top1.npy,0.587
gin,attr_rwr_adasim_top10.npy,0.665
gin,attr_rwr_adasim_top2.npy,0.63
gin,attr_rwr_adasim_top3.npy,0.643
gin,attr_rwr_adasim_top4.npy,0.66
gin,attr_rwr_adasim_top5.npy,0.622
gin,attr_rwr_adasim_top6.npy,0.612
gin,attr_rwr_adasim_top7.npy,0.653
gin,attr_rwr_adasim_top8.npy,0.636
gin,attr_rwr_adasim_top9.npy,0.644
gin,attr_rwr_jaccard_top1.npy,0.588
gin,attr_rwr_jaccard_top10.npy,0.633
gin,attr_rwr_jaccard_top2.npy,0.603
gin,attr_rwr_jaccard_top3.npy,0.607
gin,attr_rwr_jaccard_top4.npy,0.631
gin,attr_rwr_jaccard_top5.npy,0.662
gin,attr_rwr_jaccard_top6.npy,0.611
gin,attr_rwr_jaccard_top7.npy,0.642
gin,attr_rwr_jaccard_top8.npy,0.655
gin,attr_rwr_jaccard_top9.npy,0.644
gin,attr_rwr_simrank_jaccard_top1.npy,0.645
gin,attr_rwr_simrank_jaccard_top10.npy,0.664
gin,attr_rwr_simrank_jaccard_top2.npy,0.669
gin,attr_rwr_simrank_jaccard_top3.npy,0.671
gin,attr_rwr_simrank_jaccard_top4.npy,0.68
gin,attr_rwr_simrank_jaccard_top5.npy,0.685
gin,attr_rwr_simrank_jaccard_top6.npy,0.663
gin,attr_rwr_simrank_jaccard_top7.npy,0.665
gin,attr_rwr_simrank_jaccard_top8.npy,0.663
gin,attr_rwr_simrank_jaccard_top9.npy,0.679
gin,attr_rwr_simrank_top1.npy,0.651
gin,attr_rwr_simrank_top10.npy,0.668
gin,attr_rwr_simrank_top2.npy,0.688
gin,attr_rwr_simrank_top3.npy,0.691
gin,attr_rwr_simrank_top4.npy,0.688
gin,attr_rwr_simrank_top5.npy,0.667
gin,attr_rwr_simrank_top6.npy,0.703
gin,attr_rwr_simrank_top7.npy,0.659
gin,attr_rwr_simrank_top8.npy,0.679
gin,attr_rwr_simrank_top9.npy,0.687
gin,attr_simrank_jaccard_top1.npy,0.631
gin,attr_simrank_jaccard_top10.npy,0.661
gin,attr_simrank_jaccard_top2.npy,0.647
gin,attr_simrank_jaccard_top3.npy,0.667
gin,attr_simrank_jaccard_top4.npy,0.661
gin,attr_simrank_jaccard_top5.npy,0.674
gin,attr_simrank_jaccard_top6.npy,0.659
gin,attr_simrank_jaccard_top7.npy,0.652
gin,attr_simrank_jaccard_top8.npy,0.668
gin,attr_simrank_jaccard_top9.npy,0.662
